title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,url,categoryName,categories/5,categories/6,categories/7,categories/8,categories/9,imageUrl
Taman Suropati,4.6,22270.0,"Jl. Taman Suropati No.5, RT.5/RW.5",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,,,Taman Kota,Taman,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Suropati&query_place_id=ChIJ-S4F5Bb0aS4RgVq6v81ZM4s,Taman Kota,,,,,,
Taman Spathodea,4.6,5744.0,"Jagakarsa near taman spatodhea, RT.13/RW.5",Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,ID,,,Taman Kota,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Spathodea&query_place_id=ChIJYZMCJdztaS4RrFazoaK6TW8,Taman Kota,,,,,,
Taman Situ Lembang,4.6,6849.0,"Jl. Lembang No.59, RT.6/RW.5",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,,,Taman Kota,Taman,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Situ%20Lembang&query_place_id=ChIJdXBB9n4QFAURQs2buyfwl98,Taman Kota,,,,,,
Taman Agro Wisata Cilangkap Jakarta,4.3,1369.0,"Jl. Raya Cilangkap No.45, RT.6/RW.1",Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Agro%20Wisata%20Cilangkap%20Jakarta&query_place_id=ChIJmV2Zd9fsaS4RMpmNvPrHkrE,Taman,,,,,,
Perpustakaan Nasional Republik Indonesia,4.7,9100.0,"Jl. Medan Merdeka Sel. No.11, RT.11/RW.2",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,https://www.perpusnas.go.id/,+62 857-1714-7303,Perpustakaan Nasional,Perpustakaan Umum,,,,https://www.google.com/maps/search/?api=1&query=Perpustakaan%20Nasional%20Republik%20Indonesia&query_place_id=ChIJkwxuWUL0aS4RNv55CeSLpUs,Perpustakaan Nasional,,,,,,
Pasar Tanah Abang Blok A,4.5,2589.0,Jl. K.H. Fachrudin,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,,,Pusat Perbelanjaan,,,,,https://www.google.com/maps/search/?api=1&query=Pasar%20Tanah%20Abang%20Blok%20A&query_place_id=ChIJSXadwEH3aS4RgUakFGRE9wk,Pusat Perbelanjaan,,,,,,
Museum Satriamandala,4.6,8664.0,"Jl. Gatot Subroto No.14, RT.6/RW.1",Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,ID,http://sejarah-tni.mil.id/,+62 812-9525-3433,Museum Angkatan Bersenjata,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Museum%20Satriamandala&query_place_id=ChIJn0sJbeLzaS4RchXzO2jvnHI,Museum Angkatan Bersenjata,,,,,,
Pulau Tidung Besar,4.8,116.0,,,,,,,Pulau,,,,,https://www.google.com/maps/search/?api=1&query=Pulau%20Tidung%20Besar&query_place_id=ChIJGz_bBLjfQS4RnlJkFMg93As,Pulau,,,,,,
Kawasan Wisata Kota Tua Jakarta,4.6,26512.0,"Kawasan Kota Tua, Taman Fatahillah No.1 7, RT.7/RW.7",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,http://fb.com/wisatakotatua,,Tujuan Wisata,Pelestarian Situs Peninggalan,Museum tempat bersejarah,Biro Perjalanan dan Wisata,,https://www.google.com/maps/search/?api=1&query=Kawasan%20Wisata%20Kota%20Tua%20Jakarta&query_place_id=ChIJ7RcAlCrsaS4RM4GToNQSzt8,Tujuan Wisata,,,,,,
Galeri Nasional Indonesia,4.7,10772.0,"Jl. Medan Merdeka Tim. No.14, RT.6/RW.1",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,https://www.instagram.com/galerinasional?igsh=YTRudGl0M2ZvZ2Qy,+62 21 3813021,Museum Seni,Galeri Seni,,,,https://www.google.com/maps/search/?api=1&query=Galeri%20Nasional%20Indonesia&query_place_id=ChIJpZUM-zL0aS4RqDE5R5aunFo,Museum Seni,,,,,,
Taman Impian Jaya Ancol,4.6,47857.0,"Jl. Lodan Timur No.7, RT.14/RW.10",Jakarta Utara,Daerah Khusus Ibukota Jakarta,ID,https://www.ancol.com/unit-rekreasi/ancol--1,,Pusat Rekreasi,Wahana Taman Hiburan,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Impian%20Jaya%20Ancol&query_place_id=ChIJcdfvd3T0aS4RWFPBwpxqIIU,Pusat Rekreasi,,,,,,
Hutan Kota Srengseng,4.4,10000.0,"Jl. H. Kelik, RT.8/RW.6",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,,,Taman Kota,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Hutan%20Kota%20Srengseng&query_place_id=ChIJE7YGNy_3aS4RrCeV3DO5qhE,Taman Kota,,,,,,
Gedung Joang '45 - Menteng,4.6,1877.0,"Jl. Menteng Raya No.31 1, RT.1/RW.10",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,,+62 21 3909148,Museum Sejarah,Museum,,,,https://www.google.com/maps/search/?api=1&query=Gedung%20Joang%20'45%20-%20Menteng&query_place_id=ChIJ8QYl5Dn0aS4R3bklPdjUR1s,Museum Sejarah,,,,,,
Taman Mini Indonesia Indah,4.6,174256.0,Jl. Taman Mini Indonesia Indah,Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta,ID,https://tamanmini.com/taman_jelajah_indonesia/,+62 811-8882-0220,Tujuan Wisata,Museum,Taman,Taman Hiburan,,https://www.google.com/maps/search/?api=1&query=Taman%20Mini%20Indonesia%20Indah&query_place_id=ChIJYaJ20FDtaS4RDNry7LknMQc,Tujuan Wisata,,,,,,
Masjid Istiqlal,4.8,20046.0,Jalan Taman Wijaya Kusuma,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,http://eng.istiqlal.or.id/,+62 21 3811708,Masjid,Sekolah Agama,,,,https://www.google.com/maps/search/?api=1&query=Masjid%20Istiqlal&query_place_id=ChIJHeC1aM71aS4RbAyE1ULw-so,Masjid,,,,,,
Taman Menteng,4.5,21213.0,"Jl. HOS. Cokroaminoto, RT.3/RW.5",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,,,Taman Kota,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Menteng&query_place_id=ChIJKeQOsCL0aS4RLuH7DlpcjaI,Taman Kota,,,,,,
Museum Sumpah Pemuda,4.7,1302.0,"Jl. Kramat Raya No.106, RT.2/RW.9",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,http://muspada.kemenbud.go.id/,+62 21 3103217,Museum Sejarah,Museum,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Museum%20Sumpah%20Pemuda&query_place_id=ChIJKa5-SUj0aS4RZTyvePINiW8,Museum Sejarah,,,,,,
Cibugary Farm - Wisata Edukasi Cibugary,4.6,781.0,"No Peternakan Raya No.12 1, RT.1/RW.2",Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta,ID,http://www.cibugary.co.id/,,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Cibugary%20Farm%20-%20Wisata%20Edukasi%20Cibugary&query_place_id=ChIJ09N5HcrsaS4RoET1MJ69mMk,Tujuan Wisata,,,,,,
Museum Sejarah Jakarta,4.6,22846.0,"Taman Fatahillah No.1, RT.7/RW.7",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,,+62 21 6929101,Museum Sejarah,Museum,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Museum%20Sejarah%20Jakarta&query_place_id=ChIJfaWSQv8dai4RRQeMZy0D8BI,Museum Sejarah,,,,,,
Museum Bank Indonesia,4.7,11400.0,"Jl. Pintu Besar Utara No.3, RT.4/RW.6",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,http://www.bi.go.id/,+62 21 1500131,Museum,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Museum%20Bank%20Indonesia&query_place_id=ChIJDzlr6wH2aS4Ro2gBJGt31G0,Museum,,,,,,
Museum Nasional Indonesia,4.7,20211.0,"Jl. Medan Merdeka Barat No.12, RT.2/RW.3",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,https://www.museumnasional.or.id/,+62 21 3868172,Museum,,,,,https://www.google.com/maps/search/?api=1&query=Museum%20Nasional%20Indonesia&query_place_id=ChIJi_JxtdT1aS4R7Vhgb1ZBFaQ,Museum,,,,,,
Taman Ayodia - Barito,4.6,11731.0,"7, Jl. Lamandau III No.RT.4, RT.4/RW.7",Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,ID,,,Taman Kota,Taman,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Ayodia%20-%20Barito&query_place_id=ChIJuTW9y2zxaS4RKwSl9KopVgI,Taman Kota,,,,,,
Monumen Nasional,4.6,122040.0,"Merdeka Square, Jalan Lapangan Monas, RT.5/RW.2",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,ID,,+62 21 3853040,Monumen,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Monumen%20Nasional&query_place_id=ChIJLbFk59L1aS4RyLzp4OHWKj0,Monumen,,,,,,
Jakarta AQuarium Safari,4.8,20494.0,"Jl. Letjen S. Parman No.106, RT.3/RW.3",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,http://www.jakartaaquariumsafari.com/,+62 21 27893435,Akuarium,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Jakarta%20AQuarium%20Safari&query_place_id=ChIJo7n7ffv3aS4RsSNgsHX4e94,Akuarium,,,,,,
Museum Wayang,4.5,5135.0,"Jalan Pintu Besar Utara, Jl. Kali Besar Timur 4 No.27, RT.3/RW.6",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,,,Museum Seni,Museum,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Museum%20Wayang&query_place_id=ChIJ_1nySP8dai4RU7hd4de_tv4,Museum Seni,,,,,,
Museum Tekstil Jakarta,4.5,3158.0,"Jl. K.S. Tubun No 2-4, RT.5/RW.1",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,,+62 21 5606613,Museum,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Museum%20Tekstil%20Jakarta&query_place_id=ChIJXVigIpv2aS4REJto8lZlJ9w,Museum,,,,,,
Museum MACAN,4.5,11758.0,"AKR Tower Jl. Panjang No.5 Level M, RT.11/RW.10",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,https://www.museummacan.org/,+62 21 22121888,Museum Seni,Pusat kebudayaan,Museum Seni Modern,Tujuan Wisata,,https://www.google.com/maps/search/?api=1&query=Museum%20MACAN&query_place_id=ChIJV_3rrx33aS4R9vCzPVkjlvE,Museum Seni,,,,,,
Museum Seni Rupa dan Keramik - Kota Tua Jakarta,4.5,3871.0,"Jl. Pos Kota No.2 9, RT.9/RW.7",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,ID,,+62 21 6907062,Museum Seni,Museum,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Museum%20Seni%20Rupa%20dan%20Keramik%20-%20Kota%20Tua%20Jakarta&query_place_id=ChIJLSSPQv8dai4Ra0pPbm8wvj4,Museum Seni,,,,,,
Museum Bahari Jakarta,4.5,3468.0,"Jl. Ps. Ikan No.1, RT.11/RW.4",Jakarta Utara,Daerah Khusus Ibukota Jakarta,ID,https://dinaskebudayaan.jakarta.go.id/museum-bahari,+62 21 6693406,Museum Bahari,,,,,https://www.google.com/maps/search/?api=1&query=Museum%20Bahari%20Jakarta&query_place_id=ChIJeZuEUeT1aS4RRu0tK0m-7J0,Museum Bahari,,,,,,
LAWANG SURYAKANCANA,4.6,1233.0,"9QWX+MHV, Jl. Suryakencana, RT.01/RW.01",Kota Bogor,Jawa Barat,ID,,,Tujuan Wisata,Bangunan Bersejarah,,,,https://www.google.com/maps/search/?api=1&query=LAWANG%20SURYAKANCANA&query_place_id=ChIJ4YPJSMHFaS4RD0r-B2I3Vnc,Tujuan Wisata,,,,,,
Penangkaran Rusa Situ Gede,4.4,183.0,"CPXW+PV8, RT.03/RW.05",Kota Bogor,Jawa Barat,ID,,+62 812-9615-1252,Tujuan Wisata,Kebun Binatang,,,,https://www.google.com/maps/search/?api=1&query=Penangkaran%20Rusa%20Situ%20Gede&query_place_id=ChIJ9_bOfZ_EaS4RQhgY_oCy7vE,Tujuan Wisata,,,,,,
Trekking di sentul | Java Guide Indonesia,5.0,12.0,"Jl. Pembangunan I No.5, RT.03/RW.rt3/6",Kota Bogor,Jawa Barat,ID,,+62 811-8995-346,Biro Perjalanan dan Wisata,Operator Wisata Rafting,Biro Wisata,Tujuan Wisata,,https://www.google.com/maps/search/?api=1&query=Trekking%20di%20sentul%20%7C%20Java%20Guide%20Indonesia&query_place_id=ChIJuwgXG1LHaS4RHcU2h97veek,Biro Perjalanan dan Wisata,,,,,,
Genus Coffee & Boutique,4.8,788.0,"Jl. Raya Cifor No.8, RT.01/RW.05",Kota Bogor,Jawa Barat,ID,http://linktr.ee/genuscoffeeboutique,+62 811-1110-0427,Tujuan Wisata,Kafe,Rumah Makan,Restoran,Taman Hiburan,https://www.google.com/maps/search/?api=1&query=Genus%20Coffee%20%26%20Boutique&query_place_id=ChIJDWyFQCnFaS4RxO4_B-IifUg,Tujuan Wisata,Kedai Kopi,,,,,
Marcopolo Water Adventure Bogor,4.5,7223.0,"Jl. Bukit Cimanggu City Raya Jl. Sholeh Iskandar, RT.01/RW.11",Kota Bogor,Jawa Barat,ID,,+62 251 7536336,Tujuan Wisata,Taman Rekreasi Air,,,,https://www.google.com/maps/search/?api=1&query=Marcopolo%20Water%20Adventure%20Bogor&query_place_id=ChIJs2bE54TDaS4Rj8AZ23fXmB0,Tujuan Wisata,,,,,,
Rivera Outbound & Edutainment,4.6,1346.0,"Jl. Bogor Nirwana Residence, RT.07/RW.12",Kota Bogor,Jawa Barat,ID,http://www.riveraoutboundbogor.com/,+62 822-1039-3301,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Rivera%20Outbound%20%26%20Edutainment&query_place_id=ChIJa7Oy8o7FaS4RD4kDeksr1E0,Tujuan Wisata,,,,,,
Kebun Raya Bogor,4.7,104142.0,Jl. Otto Iskandardinata No.13,Kota Bogor,Jawa Barat,ID,https://kebunraya.id/,+62 251 8311362,Tujuan Wisata,Taman,Kebun Raya,,,https://www.google.com/maps/search/?api=1&query=Kebun%20Raya%20Bogor&query_place_id=ChIJu3qmEsTFaS4R5X6jRWs88nU,Tujuan Wisata,,,,,,
Kampung Labirin,4.6,116.0,"Kp, Jl. Kb. Jukut Kelurahan, RT.01/RW.10",Kota Bogor,Jawa Barat,ID,https://bit.ly/TiketPreSaleLabirin,+62 881-5304-009,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Kampung%20Labirin&query_place_id=ChIJM62_N4XFaS4RpOWeZ1cd4U0,Tujuan Wisata,,,,,,
Tugu Kujang Bogor,4.7,14815.0,"Jl. Raya Pajajaran, RT.04/RW.02",Kota Bogor,Jawa Barat,ID,,,Tujuan Wisata,Monumen,Bangunan Bersejarah,,,https://www.google.com/maps/search/?api=1&query=Tugu%20Kujang%20Bogor&query_place_id=ChIJAQAAAOHFaS4R_OqyTgPgYBQ,Tujuan Wisata,,,,,,
Taman Meksiko,4.6,1995.0,"Jl. Otto Iskandardinata No.13, RT.04/RW.02",Kota Bogor,Jawa Barat,ID,,,Tujuan Wisata,Taman,Taman Kota,,,https://www.google.com/maps/search/?api=1&query=Taman%20Meksiko&query_place_id=ChIJM3LVAMTFaS4RFmbOu-3QVRM,Tujuan Wisata,,,,,,
ridwan guide bogor,4.9,193.0,"Jl. Pulo Geulis desa No.24, RT.03/RW.04",Kota Bogor,Jawa Barat,ID,https://ridwanguidebogor.com/,+62 877-7040-1824,Penyelenggara Perjalanan,Perancang Acara,Pemandu pendakian,Penyelenggara aktivitas luar ruangan,Agen Tur Keliling Kota,https://www.google.com/maps/search/?api=1&query=ridwan%20guide%20bogor&query_place_id=ChIJ67quuMLFaS4RHuYki3Casc4,Penyelenggara Perjalanan,Biro Wisata,Tujuan Wisata,Pusat Informasi Pariwisata,Layanan Transportasi,Biro Perjalanan dan Wisata,
Paket Outbound Bogor,4.6,68.0,"Jl. Lawang Gintung No.2, RT.01/RW.05",Kota Bogor,Jawa Barat,ID,http://www.sinergiadventure.com/,+62 877-7005-0002,Penyelenggara aktivitas luar ruangan,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Paket%20Outbound%20Bogor&query_place_id=ChIJ_U2nsf7FaS4RoPvWy36e4ys,Penyelenggara aktivitas luar ruangan,,,,,,
Museum Zoologi,4.5,6790.0,"Jl. Ir. H. Juanda No.9, RT.04/RW.02",Kota Bogor,Jawa Barat,ID,,,Tujuan Wisata,Museum,Museum Hewan,,,https://www.google.com/maps/search/?api=1&query=Museum%20Zoologi&query_place_id=ChIJaexB8GPsaS4RaOHJqPy5AaQ,Tujuan Wisata,,,,,,
Museum & Monumen PETA,4.6,1725.0,"Jl. Jend. Sudirman No.35, RT.01/RW.05",Kota Bogor,Jawa Barat,ID,,+62 251 8332768,Tujuan Wisata,Museum,,,,https://www.google.com/maps/search/?api=1&query=Museum%20%26%20Monumen%20PETA&query_place_id=ChIJYy-L1MrFaS4RHB3fy_H_xxw,Tujuan Wisata,,,,,,
Museum Tanah dan Pertanian,4.7,823.0,"Jl. Ir. H. Juanda No.98, RT.01/RW.01",Kota Bogor,Jawa Barat,ID,https://museum.pertanian.go.id/,+62 811-8739-898,Tujuan Wisata,Museum,,,,https://www.google.com/maps/search/?api=1&query=Museum%20Tanah%20dan%20Pertanian&query_place_id=ChIJ724ZI8HFaS4RSdP_O099Xdg,Tujuan Wisata,,,,,,
Imah Keramik Bogor & Batikayudewi,4.9,60.0,"Jl. Pembangunan No.22/23A, RT.03/RW.05",Kota Bogor,Jawa Barat,ID,,+62 812-8145-417,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Imah%20Keramik%20Bogor%20%26%20Batikayudewi&query_place_id=ChIJZz4oo83FaS4R76TQ0CfGhYE,Tujuan Wisata,,,,,,
Batikayudewi,5.0,73.0,"Jl. Pembangunan No.23A, RT.03/RW.05",Kota Bogor,Jawa Barat,ID,https://batikayudewi.com/,+62 858-7832-9010,Tujuan Wisata,Studio seni,Seniman,Studio Fotografi,Rumah wisata,https://www.google.com/maps/search/?api=1&query=Batikayudewi&query_place_id=ChIJTzglOQDFaS4RYZaxaVSQLUM,Tujuan Wisata,Galeri Seni,,,,,
Sumber Karya Indah - SKI Bogor,4.3,4558.0,"Jl. Katulampa Raya No.6, RT.06/RW.01",Kota Bogor,Jawa Barat,ID,http://instagram.com/skibog,+62 857-7993-3177,Tujuan Wisata,Taman Hiburan,Taman Rekreasi Air,,,https://www.google.com/maps/search/?api=1&query=Sumber%20Karya%20Indah%20-%20SKI%20Bogor&query_place_id=ChIJC3zOy6fIaS4RCUVWKT_NuXY,Tujuan Wisata,,,,,,
Hopa Place,4.8,2220.0,"Jl. Rumah Sakit I No.1, RT.02/RW.05",Kota Bogor,Jawa Barat,ID,,+62 857-1032-0623,Restoran,,,,,https://www.google.com/maps/search/?api=1&query=Hopa%20Place&query_place_id=ChIJ0zTMa8DFaS4RKpKCD5LApyM,Restoran,,,,,,
Adamar Kitchen and Lounge,4.7,4349.0,"Jl. Bina Marga No.8, RT.04/RW.11",Kota Bogor,Jawa Barat,ID,http://www.adamar-bistro.com/,+62 251 8576699,Restoran,Kafe,Panggung Musik,,,https://www.google.com/maps/search/?api=1&query=Adamar%20Kitchen%20and%20Lounge&query_place_id=ChIJH9XeatzFaS4RRQl4plQ6ykg,Restoran,,,,,,
TOP TRAVEL - PT. TOP SINTESA UTAMA,5.0,15.0,"Jl. Cimanggu Barata PURA BLOK III No.1, RT.04/RW.04",Kota Bogor,Jawa Barat,ID,http://toptravel.co.id/,+62 852-1998-0807,Pusat Informasi Pariwisata,,,,,https://www.google.com/maps/search/?api=1&query=TOP%20TRAVEL%20-%20PT.%20TOP%20SINTESA%20UTAMA&query_place_id=ChIJC9YTgXLFaS4RYkkMM4sSOYk,Pusat Informasi Pariwisata,,,,,,
HAGU Coffee & Space,4.6,1253.0,"Jl. Sancang. 22 A RT 003/007, RT.03/RW.07",Kota Bogor,Jawa Barat,ID,https://instagram.com/hagu.space?utm_medium=copy_link,+62 818-990-012,Kedai Kopi,,,,,https://www.google.com/maps/search/?api=1&query=HAGU%20Coffee%20%26%20Space&query_place_id=ChIJAfwIUj3FaS4RWoV4BEKpYxs,Kedai Kopi,,,,,,
Billiard Pangrango,4.2,409.0,"Jl. Lodaya No.4, RT.03/RW.06",Kota Bogor,Jawa Barat,ID,,+62 819-1999-1988,Tempat Biliar,,,,,https://www.google.com/maps/search/?api=1&query=Billiard%20Pangrango&query_place_id=ChIJg3YCZc3FaS4RY7kecAH6ut0,Tempat Biliar,,,,,,
Roofpark Cafe & Restaurant Bogor,4.5,3446.0,"RAJA FO Bogor, Jl. Raya Pajajaran No.3 Lt.3, RT.02/RW.04",Kota Bogor,Jawa Barat,ID,http://roofpark.co.id/info/,+62 251 8576519,Kafe,Gastropub,Restoran,,,https://www.google.com/maps/search/?api=1&query=Roofpark%20Cafe%20%26%20Restaurant%20Bogor&query_place_id=ChIJd-2rmc3FaS4R1sFROjDZmcE,Kafe,,,,,,
Raindear Coffee House,4.9,3565.0,"Jl. Kantor. Pos No.6, RT.04/RW.11",Kota Bogor,Jawa Barat,ID,https://www.raindearcoffee.com/,+62 821-1178-9089,Kedai Kopi,,,,,https://www.google.com/maps/search/?api=1&query=Raindear%20Coffee%20House&query_place_id=ChIJx3t3QdbFaS4RbcuuHF6UseY,Kedai Kopi,,,,,,
Hujan Rempah,4.8,4115.0,"Jl. Ciheuleut No.15, RT.04/RW.11",Kota Bogor,Jawa Barat,ID,,+62 811-1727-721,Restoran,Kafe,Ruang Serbaguna,,,https://www.google.com/maps/search/?api=1&query=Hujan%20Rempah&query_place_id=ChIJg3lbiwTFaS4R5rd8S51e0Vc,Restoran,,,,,,
Kuntum Farmfield,4.5,5460.0,"Komplek, Jl. Teras Hijau Residence Jl. Raya Tajur No.291, RT.01/RW.01",Kota Bogor,Jawa Barat,ID,https://linktr.ee/kuntumfarmfield,+62 251 8244725,Tujuan Wisata,Peternakan anak-anak,,,,https://www.google.com/maps/search/?api=1&query=Kuntum%20Farmfield&query_place_id=ChIJr5HZvK_IaS4RYyxR-GQHnqo,Tujuan Wisata,,,,,,
Kampung Durian Rancamaya,4.1,222.0,"Gg. Narsipah No.53, RT.04/RW.07",Kota Bogor,Jawa Barat,ID,https://www.instagram.com/kampungdurianrancamaya?igsh=NnVnNThuOHNnOHVi,+62 819-1104-7144,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Kampung%20Durian%20Rancamaya&query_place_id=ChIJy5EDZcTJaS4RYsXyDpfkTdk,Tujuan Wisata,,,,,,
Pemancingan JABRUG Abah Edi,5.0,18.0,"9R4C+2JP, RT.02/RW.03",Kota Bogor,Jawa Barat,ID,,+62 857-8230-8848,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Pemancingan%20JABRUG%20Abah%20Edi&query_place_id=ChIJi5FLfqXJaS4REi3ftVR3Cy8,Tujuan Wisata,,,,,,
The Jungle Waterpark Bogor,4.5,26995.0,"Perumahan, Jl. Bogor Nirwana Residence Jl. Bukit Nirwana Raya, RT.05/RW.12",Kota Bogor,Jawa Barat,ID,http://www.thejungleadventure.com/,+62 251 8212666,Tujuan Wisata,Pusat Rekreasi,Taman Rekreasi Air,,,https://www.google.com/maps/search/?api=1&query=The%20Jungle%20Waterpark%20Bogor&query_place_id=ChIJ8xmm613PaS4RBLnoMfATWkg,Tujuan Wisata,,,,,,
Saung Eling,4.5,345.0,"8QVM+GC9, Jl. Lembur Sawah, RT.02/RW.02",Kota Bogor,Jawa Barat,ID,https://linktr.ee/saung_eling,+62 812-1940-5961,Tujuan Wisata,Restoran,,,,https://www.google.com/maps/search/?api=1&query=Saung%20Eling&query_place_id=ChIJ7bLezHLPaS4RVXYxHQcuYZo,Tujuan Wisata,,,,,,
Wisata persawahan mulyaharja,4.6,83.0,"9Q2P+5W7, RT.06/RW.01",Kota Bogor,Jawa Barat,ID,,,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Wisata%20persawahan%20mulyaharja&query_place_id=ChIJN0Z3RTrPaS4RkKiEbGkiBT4,Tujuan Wisata,,,,,,
Fellas Trip Indonesia (Tour Travel & Event Organizer),5.0,61.0,"Jl. Cimanggu Lamping, RT.01/RW.14",Kota Bogor,Jawa Barat,ID,,+62 852-1019-8717,Biro Perjalanan dan Wisata,Event Organizer (EO),,,,https://www.google.com/maps/search/?api=1&query=Fellas%20Trip%20Indonesia%20(Tour%20Travel%20%26%20Event%20Organizer)&query_place_id=ChIJKW6szCnFaS4RcMG1xH13qrI,Biro Perjalanan dan Wisata,,,,,,
Himam Tour - Travel Umroh Bogor,5.0,113.0,"Aqla Coffee & Slurpee, Jl. Brigjen Saptadji Hadiprawira No.10, RT.01/RW.01",Kota Bogor,Jawa Barat,ID,http://www.himamtour.com/,+62 812-3430-3037,Biro Perjalanan dan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Himam%20Tour%20-%20Travel%20Umroh%20Bogor&query_place_id=ChIJQYIADx_FaS4Rv4iZyX2uE-c,Biro Perjalanan dan Wisata,,,,,,
Hutan Hujan (Coffee Shop),4.8,862.0,"Jl. Radar Baru No.49, RT.03/RW.02",Kota Bogor,Jawa Barat,ID,https://linktr.ee/hutanhujan__,+62 821-1831-7553,Kedai Kopi,Kafe,Toko kopi,,,https://www.google.com/maps/search/?api=1&query=Hutan%20Hujan%20(Coffee%20Shop)&query_place_id=ChIJj-JBpIbFaS4RFkX4ZBJNqNU,Kedai Kopi,,,,,,
Sisi Barat Coffee River View,4.5,818.0,"Jl. Batu Hulung, RT.02/RW.02",Kota Bogor,Jawa Barat,ID,https://linktr.ee/sisibaratcoffee,+62 857-2316-4268,Kedai Kopi,,,,,https://www.google.com/maps/search/?api=1&query=Sisi%20Barat%20Coffee%20River%20View&query_place_id=ChIJm6cDzmfFaS4RwuYFviJONPE,Kedai Kopi,,,,,,
dokter backpacker - TRAVEL MURAH LIBURAN KE LUAR NEGERI,5.0,135.0,"Jl. Bambu Ori I Taman Yasmin No.42 Sektor 7, RT.04/RW.04",Kota Bogor,Jawa Barat,ID,http://www.dokterbackpacker.com/,+62 811-1213-885,Biro Perjalanan dan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=dokter%20backpacker%20-%20TRAVEL%20MURAH%20LIBURAN%20KE%20LUAR%20NEGERI&query_place_id=ChIJ-SGVEZPFaS4RFdPakJLopxA,Biro Perjalanan dan Wisata,,,,,,
ZAMA HOUSE,4.9,855.0,"Jl. Raya Dramaga - Bogor No.Km 7.3, RT.02/RW.06",Kota Bogor,Jawa Barat,ID,https://qr.me-qr.com/mobile/pdf/ec19902a-59e2-4b51-b6b4-d9a71d7ee34a,+62 251 8427634,Kafe,,,,,https://www.google.com/maps/search/?api=1&query=ZAMA%20HOUSE&query_place_id=ChIJUSe3GYjFaS4RJAERA84C10A,Kafe,,,,,,
